,Unnamed: 0,USER,AGENT,Persuasion Strategy,User Sentiment (-1 to 1),Persona Detail,Task Info,Domain Info,INTENT,Agent Dialouge Act,Slot-Value,Value,B-I-O Tag,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
15,15,It is quite expensive.,Blackberry phones are trending these days. It also matches your colour preference.,4,-1,,"Laptop, Phone",Electornics,Feedback,PersonalAppeal,n,,O O O O,,,,,,,,,,,,,,
16,16,No No. I cannot afford it today.,This phone is at its best price. I would suggest you not to miss the deal.,4,-1,,"Laptop, Phone",Electornics,Reject,PersonalAppeal,n,,O O O O O O O,,,,,,,,,,,,,,
17,17,No. I cannot afford it. I will just take the laptop.,Can I show you some cheap Blackberry phones?,4,-1,,"Laptop, Phone",Electornics,Reject,BookingReq,n,,O O O O O O O O O O O,,,,,,,,,,,,,,
18,18,"No, I will buy it next time.",Alright. Your laptop has been booked. Is there anything else I could asist you with?,4,0,,"Laptop, Phone",Electornics,Reject,Booking,n,,O O O O O O O,,,,,,,,,,,,,,
19,19,"No, Thankyou for assistance.",You are welcome.,4,1,,"Laptop, Phone",Electornics,Gratitude,Gratitude,n,,O O O O,,,,,,,,,,,,,,
20,20,2,2,,,,,,,,n,,,,,,,,,,,,,,,,
21,21,Hello there! I'd like to purchase a laptop.,Hello Would you like to tell us your requirements?,0,0,,"Laptop, Phone",Electornics,LaptopSelReq,TaskSpecificationReq,n,,O O O O O O O O,,,,,,,,,,,,,,
22,22,"Yes, HP 14-cf0007nx is what I'm looking for. Do you have them?","Yes, we have it. Do you want it with i3 or i5 CPU?",0,0,,"Laptop, Phone",Electornics,Request,Request,"Brand-HP,
Model-14-cf0007nx","HP,
14-cf0007nx",O B-Brand B-Model O O O O O O O O O,,,,,,,,,,,,,,
23,23,It should be i5-8250U processor having an Intel Core. Could you tell me some other specifications?,"It comes with an Intel Core i5-8250U processor, along with AMD graphics card, and 16 GB (Optane)/1TB HDD storage.",3,0,,"Laptop, Phone",Electornics,Request,Inform,Processor-i5-8250U,i5-8250,O O O B-Processor O O O O O O O O O O,,,,,,,,,,,,,,
24,24,"How much graphics does it have? Because I do a lot of gamming, I need higher graphics processing capacity.",It has a very capable AMD Radeon 530 (2 GB) are also very fine. It has the potential to have a positive gaming experience.,3,0,,"Laptop, Phone",Electornics,Request,Inform,GPU-,UNK,O O B-GPU O O O O O O O O O O O B-Gpu O O,,,,,,,,,,,,,,
25,25,"Okay, just tell me how much it costs.",The price is 2629 EUR.,3,0,,"Laptop, Phone",Electornics,Request,Inform,Cost-,UNK,O O O O O O O B-Cost,,,,,,,,,,,,,,
26,26,Woah! This is priced like gold.,It is at its best price. This CPU will handle day to day task very smoothly.,3,-1,,"Laptop, Phone",Electornics,Reject,LogicalAppeal,n,,O O O O O O,,,,,,,,,,,,,,
27,27,I still don't believe this price justifies this model because the specs dosen't match this caliber of price tag.,This is an i5 model. I would suggest you to buy this.,3,-1,,"Laptop, Phone",Electornics,Reject,LogicalAppeal,n,,O O O O O B-Cost O O B-Model O O O O O O O O B-Cost O,,,,,,,,,,,,,,
28,28,Is there any discount available?,The product it already at its best price. I would recommend you to consider this.,3,0,,"Laptop, Phone",Electornics,Request,Recommend,n,,O O O O O,,,,,,,,,,,,,,
29,29,Fine! I would like to buy this. Kindly book my order and deliver it ASAP,Sure! Is there anything else you wish to see from us?,3,1,,"Laptop, Phone",Electornics,BookingReq,Booking,n,,O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
30,30,Do you have smartphones also? If yes then show me that too.,Yes we have the smartphones.Would you please tell us the requirements regarding the smartphone.,3,0,,"Laptop, Phone",Electornics,PhoneSelReq,TaskSpecificationReq,n,,O O O O O O O O O O O O,,,,,,,,,,,,,,
31,31,"Yes,  https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg is the picture. Do you have this?","It seems to be an Acer smartohone. We have a phone which almost matches with your picture, that is Acer Liquid X2 model. It is also in black colour.",3,0,,"Laptop, Phone",Electornics,Inform,Inform,n,,O O O O O O O O O,,,,,,,,,,,,,,
32,32,Please describe the features to me.,"Sure! It comes with a 4020 mAh battery, 3 GB RAM, and 13-megapixel primary and secondary cameras. Do you want to know anything else?",3,0,,"Laptop, Phone",Electornics,Request,Inform,n,,O O O B-Feature O O,,,,,,,,,,,,,,
33,33,Yes! Let me know the cost of the smartphone.,It costs 230 euros. Should we book this for you along with the laptop?,3,0,,"Laptop, Phone",Electornics,Request,Inform,Cost-,UNK,O O O O O B-Cost O O O,,,,,,,,,,,,,,
34,34,Yeah! Book both products for me.,Your order has been placed.,3,1,,"Laptop, Phone",Electornics,BookingReq,Booking,n,,O O O O O O,,,,,,,,,,,,,,
35,35,Sure ! thankyou.,"Thankyou for shoping with us, have a good day.",3,1,,"Laptop, Phone",Electornics,Gratitude,Gratitude,n,,O O O,,,,,,,,,,,,,,
36,36,3,3,,,,,,,,n,,,,,,,,,,,,,,,,
37,37,Hello and good evening.,Hello and good evening. How may I assist you?,0,0,,Phone,Electornics,Gratitude,TaskReq,n,,O O O O,,,,,,,,,,,,,,
38,38,I'd like to ask you a question about a smartphone.,Will you please tell us which model it is?,0,0,,Phone,Electornics,PhoneSelReq,ModelReq,n,,O O O O O O O O O O,,,,,,,,,,,,,,
39,39,Right now I'm not sure which model it is.,Will you please try to share any other details of the phone?,0,0,,Phone,Electornics,Inform,Request,Model-,UNK,O O O O O O B-Model O O,,,,,,,,,,,,,,
40,40,"Yes, It has a main and secondary camera with a resolution of 16 megapixels.",That's good. Is there anything else you know about the smartphone?,3,0,,Phone,Electornics,Inform,Request,S_Camera-16,16,O O O O O O O O O O O O B-Resolution O,,,,,,,,,,,,,,
41,41,It is gold in colour. Will it be of assistance?,okay! The majority of Vivo phones are made in gold. It might be a vivo phone.,3,0,,Phone,Electornics,Inform,Inform,Colour-GOLD,GOLD,O O B-Colour O O O O O O O,,,,,,,,,,,,,,
42,42,"I have an image of the phone, if it is helpful then I can share the image.",That would be beneficial. Kindly share the image.,3,0,,Phone,Electornics,Inform,ImageReq,n,,O O O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
43,43,"Here it is 
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.in%2FVivo-Gold-64GB-Without-Offers%2Fdp%2FB07CQ3WV3C&psig=AOvVaw29_QuGYFkfgh64BUXuiY5f&ust=1634983556250000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLCp1sPi3fMCFQAAAAAdAAAAABAE",It seems to be a Vivo phone. We have a vivo X7 Plus which is almost similar to the phone which you have shared. If you are interested I can share some more features regarding the smartphone.,3,0,,Phone,Electornics,Inform,Inform,n,,O O O O,,,,,,,,,,,,,,
44,44,I had Vivo phones before. They are really nice. Can you please tell me its features?,It has also a 16 megapixels camera. Apart from that it has a 4000mAh battery and 4GB of RAM. It has a 64 GB internal memory.,3,0,,Phone,Electornics,Feedback,Inform,Brand-Vivo,Vivo,O O B-Brand O O O O O O O O O O O O B-Feature,,,,,,,,,,,,,,
45,45,That's good. How much does it cost?,It will set you back 680 euros.,3,0,,Phone,Electornics,Request,Inform,Cost-,UNK,O O O O O O B-Cost,,,,,,,,,,,,,,
46,46,Oops! It is seems expensive.,It is worth the price. As it is a gold coloured phone. And also it is of Vivo.,3,-1,,Phone,Electornics,Reject,LogicalAppeal,n,,O O O O O,,,,,,,,,,,,,,
47,47,I doubt if it can be a good value for money.,This gold coloured Vivo phone is equipped with great features. It will surely stand out of the crowd.,3,-1,,Phone,Electornics,Reject,LogicalAppeal,n,,O O O O O O O O O O O,,,,,,,,,,,,,,
48,48,I don't think I can afford this phone right now. I will save some money for this and come later.,Alright. Can I assist you with some other smartphones?,3,-1,,Phone,Electornics,Reject,TaskSpecificationReq,n,,O O O O O O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
49,49,"No, Thankyou for now. I will wait till I save some cash.",Okay. I hope you visit us soon.,3,-1,,Phone,Electornics,Close,Close,n,,O O O O O O O O O O O O,,,,,,,,,,,,,,
50,50,Yeah. Thank you so much.,You are welcome.,3,0,,Phone,Electornics,Gratitude,Gratitude,n,,O O O O O,,,,,,,,,,,,,,
51,51,4,4,,,,,,,,n,,,,,,,,,,,,,,,,
52,52,Hello and good morning. I'd like to purchase a mobile with a head-turning effect on everyone.,Hello there! Will you please tell me your budget?,1,0,,Phone,Electornics,PhoneSelReq,BudgetReq,n,,O O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
53,53,I have no budget limitation. Show me a premium one.,Okay! We have two options Apple iPhones or Samsung's S series. You can go with either of them. They both are most premium smartphone from respective brands.,1,0,,Phone,Electornics,SuggestionReq,Recommend,Cost-,UNK,O O O B-Cost O O O O O O,,,,,,,,,,,,,,
54,54,"I've tried Samsung, but it lacks the head-turning effect.","Okay, Then Apple iPhones will be the good option for you.",1,0,,Phone,Electornics,Feedback,Inform,Brand-Samsung,Samsung,O O B-Brand O O O O O O,,,,,,,,,,,,,,
55,55,Which is the most recent iPhone in the market?,"We have many options like iPhone 7 and iPhone 7 Plus, as well as iPhone 6s and iPhone 6s Plus. You can tell me if you have any specific feature requirement for your choice.",1,0,,Phone,Electornics,Request,Inform,Model-iPhone,iPhone,O O O O O B-Model O O O,,,,,,,,,,,,,,
56,56,Which one is the latest?,The latest one is iPhone 7 Plus. This is a very premium smartphone.,1,0,,Phone,Electornics,Request,Inform,Release Date-Latest,Latest,O O O O B-ReleaseDate,,,,,,,,,,,,,,
57,57,Please tell me about the features of the phone.,"It comes with 3 GB of RAM, a 2900mAh battery, and 32 GB of internal memory.",1,0,,Phone,Electornics,Request,Inform,Features-,UNK,O O O O O B-Feature O O O,,,,,,,,,,,,,,
58,58,Just 3 GB of RAM! How can this be a premium phone?,The phone is equipped with iOS operating system. The 3 GB RAM is really suffecient for this device. It come with a very attractive colour.,1,-1,,Phone,Electornics,Request,Inform,RAM-3,3,O B-RAM O O O O O O O O O O,,,,,,,,,,,,,,
59,59,What colour choices do you have available?,The phone is in jet black colour. It adds more premiumness to the phone.,1,0,,Phone,Electornics,Request,Inform,Colour-,UNK,O B-Colour O O O O O,,,,,,,,,,,,,,
60,60,Great. Please book one for me.,Okay! I am booking it for you. Your reservation number is 5959.,1,1,,Phone,Electornics,BookingReq,Booking,n,,O O O O O O,,,,,,,,,,,,,,
61,61,"Okay, Thank you so much.",You are welcome.,1,1,,Phone,Electornics,Gratitude,Gratitude,n,,O O O O O,,,,,,,,,,,,,,
62,62,5,5,,,,,,,,n,,,,,,,,,,,,,,,,
63,63,"Hello, Good morning.","Hi there, How may I help you?",0,0,,Camera,Electornics,,TaskReq,n,,O O O,,,,,,,,,,,,,,
64,64,I would like to buy a decent camera.,"Yes, we have a variety of cameras from various manufacturers. Which one do you want to shop from us?",0,0,,Camera,Electornics,CameraSelReq,BrandReq,n,,O O O O O O O O,,,,,,,,,,,,,,
65,65,It should be a Nikon camera .,Sure! we have variety of camera according to your prefrence. Will you please let me know your budget?,1,0,,Camera,Electornics,SuggestionReq,BudgetReq,Brand-Nikon,Nikon,O O O O B-Brand O,,,,,,,,,,,,,,
66,66,It should be upto 100 EUR and should be released in 2007. Because previously I was using the same.,Okay! Let me make a suggestion for you. The Nikon D40 is an excellent option.,1,0,,Camera,Electornics,Inform,Recommend,"Budget-100, Release Date-2007","100, 2007",O O O O B-Cost O O O O O O B-ReleaseDate O O O O O O O,,,,,,,,,,,,,,
67,67,"This time I want a camera with Night vision, my previous one doesn't have that feature.",Okay! then you should go with Nikon Coolpix L12 because it has night vision as per your prefrence.,1,-1,,Camera,Electornics,Request,Recommend,Feature-,UNK,O O O O O B-Camera O O O O O O O O O B-Feature,,,,,,,,,,,,,,
68,68,Can you explain its features?,It was released in 2007 and has a resolution of 3072x2592 pixels. The sensor has a resolution of 7 pixels.,1,0,,Camera,Electornics,Request,Inform,Feature-,UNK,O O O O B-Feature,,,,,,,,,,,,,,
69,69,What is its zoom range?,It has a 35-105mm zoom range and a 50-15mm target range. Do you want to know anything else?,1,0,,Camera,Electornics,Request,Inform,Zoom-,UNK,O O O B-Range O,,,,,,,,,,,,,,
70,70,"Yes, tell me about the battery. I don't want heavy camera.",Its battery weighs 105 g which makes it easier to carry.,1,0,,Camera,Electornics,Request,Inform,Battery-,UNK,O O O O B- Battery O O O O O B-camera,,,,,,,,,,,,,,
71,71,"Without a doubt, this camera is a safer choice. How much does it costs?",Its for just 99 EUR.,1,0,,Camera,Electornics,Request,Inform,Cost-,UNK,O O O O O O O O O O O O O B-Cost,,,,,,,,,,,,,,
72,72,"That's great, book one for me.",Okay! your booking has been done. Your booking id is 1a2s3.,1,1,,Camera,Electornics,BookingReq,Booking,n,,O O O O O O,,,,,,,,,,,,,,
73,73,"Okay, thankyou for your service.",You're more than welcome.,1,1,,Camera,Electornics,Close,Close,n,,O O O O O,,,,,,,,,,,,,,
74,74,6,6,,,,,,,,n,,,,,,,,,,,,,,,,
75,75,Hi there.,"Hello, How may I assist you?",0,0,,Phone,Electornics,,TaskReq,n,,O O,,,,,,,,,,,,,,
76,76,I've come to purchase a smartphone.,"Sure, it would be much easier if you let us know the range in which you want your smartphone.",0,0,,Phone,Electornics,PhoneSelReq,BudgetReq,n,,O O O O O O,,,,,,,,,,,,,,
77,77,I want my smartphone to be up to 500 EUR. Is there any within this price range?,"Yes, considering your budget we have some smartphones. Which brand would you prefer?",0,0,,Phone,Electornics,Inform,BrandReq,Budget-,UNK,O O O O O O O O B-Cost O O O O O O B-Cost O,,,,,,,,,,,,,,
78,78,Only Vivo has my confidence. It is an excellent camera phone.,Kindly let us know if you have any particular specifications in your mind?,4,0,,Phone,Electornics,Inform,TaskSpecificationReq,Brand-Vivo,Vivo,O B-Brand O O O O O O O B-Camera O,,,,,,,,,,,,,,
79,79,I decided to research on mobile photography. I figured it would make a nice option.,Indeed! Vivo phones have pretty good camera. Let me make a recommendation that is within your budget.,4,0,,Phone,Electornics,Inform,Recommend,n,,O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
80,80,"Okay, That will be wonderful.",Vivo's X6S Plus model is a decent phone. You should take a look at it.,4,0,,Phone,Electornics,Inform,Recommend,n,,O O O O O,,,,,,,,,,,,,,
81,81,Would you please mind elaborating some more of its features?,"Yes sure,. It has a battery capacity of 3000 mAh and 4 GB of RAM. It has a main camera with a resolution of 16 megapixels and a secondary camera with a resolution of 8 megapixels.",4,0,,Phone,Electornics,Request,Inform,Feature-,UNK,O O O O O O O O O B-Feature,,,,,,,,,,,,,,
82,82,It seems good. Is there a GPS?,"YES, It comes with a built-in radio and GPS. It also has a dual-sim card port.",4,0,,Phone,Electornics,Request,Inform,GPS-,UNK,O O O O O O B-GPS,,,,,,,,,,,,,,
83,83,And what colours does it come in?,The smartphone is available in platinum.,4,0,,Phone,Electornics,Request,Inform,Colour-,UNK,O O B-Colour O O O O,,,,,,,,,,,,,,
84,84,Do you have black in option?,Currenntly only the platinum colour is in demand. I must tell you that it will look fantastic.,4,-1,,Phone,Electornics,Request,PersonalAppeal,n,,O O O B-Colour O O,,,,,,,,,,,,,,
85,85,But i want my phone in black colour.,I think you should try platinum this time because i have sold many of them it is actually in demand these days.,4,-1,,Phone,Electornics,Reject,PersonalAppeal,Colour-BLACK,BLACK,O O O O O O B-Colour O,,,,,,,,,,,,,,
86,86,I haven't used this colour before. Are you sure it will look good?,Absolutely! I am assuring you it will look awesome.,4,0,,Phone,Electornics,SuggestionReq,PersonalAppeal,n,,O O O O B-Colour O O O O O O O O,,,,,,,,,,,,,,
87,87,"Okay then, Please book one for me.",Sure! Your booking has been done. Your booking id is 23412. Is there any more help you want?,4,1,,Phone,Electornics,BookingReq,Booking,n,,O O O O O O O,,,,,,,,,,,,,,
88,88,"No that's it, Thank you for your service.",You are most welcome.,4,1,,Phone,Electornics,Close,Close,n,,O O O O O O O O,,,,,,,,,,,,,,
89,89,7,7,,,,,,,,n,,,,,,,,,,,,,,,,
90,90,"Hi, Good Morning.","Hello, Good Morning. What may I do to assist you?",0,0,,Phone,Electornics,Gratitude,TaskReq,n,,O O O,,,,,,,,,,,,,,
91,91,Can you recommend a decent phone for me?,"Would you please tell me, is there any specific brand you prefer?",0,0,,Phone,Electornics,PhoneSelReq,BrandReq,n,,O O O O O O O O,,,,,,,,,,,,,,
92,92,I have no specific brand in my mind. The phone's price should be upto 500 EUR and have some decent features.,Is there any special feature you'd like to see in your phone?,0,0,,Phone,Electornics,Inform,TaskSpecificationReq,Budget-500,500,O O O O O O O O O O B-Cost O O O B-Cost O O O O O O,,,,,,,,,,,,,,
93,93,It should be a dual sim port and 4 GB of RAM. Because I play a lot of games on my phone.,Okay. You can go for Samsung Galaxy S8+. Would you like to know anything else regarding the phone?,3,0,,Phone,Electornics,Inform,Recommend,RAM-4,4,O O O O B-Sim O O B-RAM O O O O O O O O O O O O,,,,,,,,,,,,,,
94,94,Yes. What is its battery capacity?,It has a 3500 mAh battery.,3,0,,Phone,Electornics,Request,Inform,Battery-,UNK,O O O O B-Battery O,,,,,,,,,,,,,,
95,95,That will not be sufficient. I want battery capacity to be at least 7000 mAh.,This battery can last entire day long. You can defenitely count on it.,3,-1,,Phone,Electornics,Inform,LogicalAppeal,n,,O O O O O O O B-Battery O O O O O O O,,,,,,,,,,,,,,
96,96,"See, I know how long I use my phones. I bet it will not last that long at least in my case.",Alright. Then you can consider Asus Zenfone. It has a 4 GB RAM and a mega 7800 mAh battery.,3,-1,,Phone,Electornics,Reject,LogicalAppeal,n,,O O O O O O O O O O O O O O O O O O O O O O,,,,,,,,,,,,,,
97,97,Tell me more features of it.,It has a main camera of 8 megapixels and a secondary camera with  5 megapixels,3,0,,Phone,Electornics,Inform,Inform,Feature-,UNK,O O O O O O,,,,,,,,,,,,,,
98,98,What about the weight and storage of the phone?,It weighs 190 g and has a storage capacity of 32 GB.,3,0,,Phone,Electornics,Request,Inform,Weight-,UNK,O O O B-Weight O B-Storage O O O,,,,,,,,,,,,,,
99,99,Can you do me a favour? It should be either in gold or in silver.,As per your preference it is in gold colour. Is there anything else you want to know about this phone?,3,0,,Phone,Electornics,Request,Inform,Colour-,UNK,O O O O O O O O O O O B-Colour O O B-Colour,,,,,,,,,,,,,,
100,100,How much does it cost?,It will cost you 550 EUR.,3,0,,Phone,Electornics,Request,Inform,Cost-,UNK,O O O O B-Cost,,,,,,,,,,,,,,
101,101,It is a little expensive. I have budget of 500 only.,This extra amount will help you get a better phone. It has massive 7800 mAh battery. It will easily run entire day long.,3,-1,,Phone,Electornics,Inform,LogicalAppeal,n,,O O O O O O O O O B-Cost O,,,,,,,,,,,,,,
102,102,"Yes, I get it. But I am doubtful about the phone's overall performance.",This phone has a good camera and large storage too. It will not disappoint you in term of performance.,3,-1,,Phone,Electornics,Feedback,LogicalAppeal,n,,O O O O O O O O O O O O O,,,,,,,,,,,,,,
103,103,Okay. Kindly book it for me.,I am glad you liked it. It has been booked for you. Your booking id is 7645397.  Is there anything else I can assist you with?,3,1,,Phone,Electornics,BookingReq,Booking,n,,O O O O O O,,,,,,,,,,,,,,
104,104,"No, that's it. Thank you so much for your support.",You are more than welcome.,3,1,,Phone,Electornics,Close,Close,n,,O O O O O O O O O O,,,,,,,,,,,,,,
105,105,8,8,,,,,,,,n,,,,,,,,,,,,,,,,
106,106,Hello and good afternoon.,Hi and Good Afternoon. How may I help you?,0,0,,Camera,Electornics,Gratitude,TaskReq,n,,O O O O,,,,,,,,,,,,,,
107,107,I want to purchase a camera.,"Sure, please tell me the brand you're looking for?",0,0,,Camera,Electornics,CameraSelReq,BrandReq,n,,O O O O O O,,,,,,,,,,,,,,
108,108,Nikon is my preferred camera. I hope it is available.,"Yes, we have a large number of Nikon models in hand. Is there a particular model that you're searching for?",3,0,,Camera,Electornics,Inform,ModelReq,Brand-Nikon,Nikon,B-Brand O O O O O O O O O,,,,,,,,,,,,,,
109,109,"No, Right now there is no specific model in my mind.",Can you please tell me the range under which you want your camera?,3,0,,Camera,Electornics,Inform,BudgetReq,n,,O O O O O O O O O O O,,,,,,,,,,,,,,
110,110,"Yes, please bring me something in the vicinity of 200 EURO.","Okay, Let me recommend a model that would be suitable for you.Nikon Coolpix100 with 512x320 resolution.",3,0,,Camera,Electornics,Inform,Recommend,Budget-200,200,O O O O O O O O O B-Cost O,,,,,,,,,,,,,,
111,111,"However, the resolution isn't great. Show me the one with better resolution.",You should go with Nikon Coolpix 2000 is a digital camera with a resolution of 1632x1024 pixels and a pixel 1 camera that was released in 2002.,3,-1,,Camera,Electornics,Reject,Recommend,n,,O O O O O O O O O O O O,,,,,,,,,,,,,,
112,112,What is it's zoom range?,It has a zoom range of 38-114 and weights 295 gram with the battery included.,3,0,,Camera,Electornics,Request,Inform,Zoom-,UNK,O O O B-Zoomrange O,,,,,,,,,,,,,,
113,113,That's excellent. Would it be convenient for users while travelling.,Ofcours! It has a 108 cm touchscreen which,3,0,,Camera,Electornics,SuggestionReq,Inform,n,,O O O O O O O O O O,,,,,,,,,,,,,,
114,114,How much will it cost?,It will set you back 229 EURO.,3,0,,Camera,Electornics,Request,Inform,Cost-,UNK,O O O O B-Cost,,,,,,,,,,,,,,
115,115,It is out of my budget.,If you push your budget a bit then it is the best thing for you.,3,-1,,Camera,Electornics,Reject,LogicalAppeal,n,,O O O O O O,,,,,,,,,,,,,,
116,116,Is there any discount available?,Actually the product is already at its best price.,3,-1,,Camera,Electornics,Request,Inform,n,,O O O O O,,,,,,,,,,,,,,
117,117,Okay. I'm glad you have told me about this.,Okay! Should I book one for you?,3,1,,Camera,Electornics,Inform,BookingReq,n,,O O O O O O O O O,,,,,,,,,,,,,,
118,118,"Yes, Please make a reservation for me.","Okay, sure. The reservation has been made. Your reservation id is 1633563.",3,1,,Camera,Electornics,BookingReq,Booking,n,,O O O O O O O,,,,,,,,,,,,,,
119,119,Thank you for your assistance.,You're more than welcome.,3,1,,Camera,Electornics,Gratitude,Gratitude,n,,O O O O O,,,,,,,,,,,,,,
120,120,9,9,,,,,,,,n,,,,,,,,,,,,,,,,
121,121,Hello there!,"Hello, What may I do to assist you?",0,0,,Laptop,Electornics,Gratitude,TaskReq,n,,O O,,,,,,,,,,,,,,
122,122,"Yesterday, someone stole my laptop.",I am so sorry to hear that. How may i help you?,4,0,,Laptop,Electornics,Inform,TaskReq,n,,O O O O O,,,,,,,,,,,,,,
123,123,I'd like to purchase a laptop.,If you have any basic requirements? Would you like to choose any brand?,4,0,,Laptop,Electornics,LaptopSelReq,BrandReq,n,,O O O O O O,,,,,,,,,,,,,,
124,124,Actually my previous laptop was of Asus. Do you have any?,Would you please tell me the range under which you would like to see the laptop?,4,0,,Laptop,Electornics,Request,BudgetReq,Brand-Asus,Asus,O O O O O O B-Brand O O O O,,,,,,,,,,,,,,
125,125,Yeah! It should be under 450 EUROS.,"The Asus Zenfone 3 Deluxe 5.5 ZS550KL is a viable choice. It has a 3000 mAh battery and 4 GB of RAM. The main camera has a resolution of 16 megapixels, while the secondary camera has a resolution of 8 megapixels.",4,0,,Laptop,Electornics,Inform,Recommend,Cost-450,450,O O O O O B-Cost O,,,,,,,,,,,,,,
126,126,That's fantastic. What is the size of the central memory?,It has 64 GB of storage and weights 151 gram.,4,0,,Laptop,Electornics,Request,Inform,RAM-,UNK,O O O O O O O O O B-Memory,,,,,,,,,,,,,,
127,127,"So, how much wiil it cost?",It will set you back 440 euros.,4,0,,Laptop,Electornics,Request,Inform,Cost-,UNK,O O O O O B-Cost,,,,,,,,,,,,,,
128,128,That's fine. In which colour does it come?,It comes in a shimmering gold colour. It seems to be magnificent.,4,0,,Laptop,Electornics,Request,Inform,Colour-,UNK,O O O O B-Colour O O O,,,,,,,,,,,,,,
